Priority,Practice Name,Trading Name,City,State,Phone,Phone Check,Phone Note,Owner / Decision Maker,Owner Title,Email,Email Check,Email Type,Mail Host,Email Note,Email Source,Website,Address,ZIP,Practice Type,Record Type,Target Tier,Google Rating,Locations On Phone,Record Updated,Record Freshness,Source - Registry,Source - Website,Source - Google Maps,Source - Email Found On,Data Flag,NPI,Called,Outcome,Follow Up
B,Accent Orthodontics Inc.,All Smiles Family Dental Center,Barre,VT,(802) 476-8700,VALID,area code matches VT; confirmed by 3 independent sources,"John Steinman, DMD",President,office@myvtsmiles.com,DELIVERABLE,Role account,Other,domain accepts mail (MX present),Practice website,https://myvtsmiles.com/,161 Us Route 302,05641,General Dentistry,Practice (organisation),Primary (general),,1,2025,Recent,https://npiregistry.cms.hhs.gov/provider-view/1578781217,https://myvtsmiles.com/,https://www.google.com/maps/place/All+Smiles+Family+Dental+Center/data=!4m7!3m6!1s0x4cb507ac1e075fa5:0xe202e5d80d8173fe!8m2!3d44.2156622!4d-72.5360927!16s%2Fg%2F1tdyktl6!19sChIJpV8HHqwHtUwR_nOBDdjlAuI,https://myvtsmiles.com/,,1578781217,,,
B,Sharvari Karande,"Aspen Dental - Barre, VT - Berlin",Barre,VT,(802) 461-4734,VALID,area code matches VT; confirmed by 3 independent sources,Sharvari Karande,Dentist,,,,,,,https://www.aspendental.com/dentist/vt/barre/856-us-route-302-unit-a,856 Us Route 302 Unit A,05641,General Dentistry,Individual dentist,Primary (general),,1,2023,Recent,https://npiregistry.cms.hhs.gov/provider-view/1104584143,https://www.aspendental.com/dentist/vt/barre/856-us-route-302-unit-a,"https://www.google.com/maps/place/Aspen+Dental+-+Barre,+VT+-+Berlin/data=!4m7!3m6!1s0x4cb507b77dccfe97:0x9e957ea8dfbd3bbc!8m2!3d44.22217!4d-72.5465352!16s%2Fg%2F11cpgtgz2f!19sChIJl_7MfbcHtUwRvDu936h-lZ4",,,1104584143,,,
B,"Justin Salem, D.D.S.",,Bennington,VT,(802) 447-7147,VALID,area code matches VT,"Justin Salem, D.D.S.",D.D.S.,,,,,,,,107 Elm St,05201,General Dentistry,Individual dentist,Primary (general),,1,2026,Recent,https://npiregistry.cms.hhs.gov/provider-view/1558340299,,,,,1558340299,,,
B,"Sean Alexander, D.M.D",,Bennington,VT,(860) 943-3006,CHECK,"area code 860 belongs to CT, practice is in VT","Sean Alexander, D.M.D",D.m.d,,,,,,,,130 Union St,05201,General Dentistry,Individual dentist,Primary (general),,1,2025,Recent,https://npiregistry.cms.hhs.gov/provider-view/1184717241,,,,,1184717241,,,
B,"Wesley Baker, DMD",,Bennington,VT,(802) 447-1648,VALID,area code matches VT,"Wesley Baker, DMD",DMD,,,,,,,,231 Union St,05201,General Dentistry,Individual dentist,Primary (general),,1,2026,Recent,https://npiregistry.cms.hhs.gov/provider-view/1720085905,,,,,1720085905,,,
B,"Hirving Henriquez, DDS",Windham County Dental Center,Brattleboro,VT,(802) 490-2923,VALID,area code matches VT; confirmed by 3 independent sources,"Hirving Henriquez, DDS",DDS,smile@windhamcountydental.org,DELIVERABLE,Role account,Microsoft 365,domain accepts mail (MX present),Practice website,https://windhamcounty.dental/,53 Fairview St,05301,General Dentistry,Individual dentist,Primary (general),,1,2024,Recent,https://npiregistry.cms.hhs.gov/provider-view/1780355644,https://windhamcounty.dental/,https://www.google.com/maps/place/Windham+County+Dental+Center/data=!4m7!3m6!1s0x89e11bd1ab7b1a41:0xb7f08e105d23245d!8m2!3d42.8409995!4d-72.5661868!16s%2Fg%2F11jvp812mz!19sChIJQRp7q9Eb4YkRXSQjXRCO8Lc,https://windhamcounty.dental/,,1780355644,,,
B,"Janet Zinter, DDS",Terry Melissa,Brattleboro,VT,(802) 254-4190,VALID,area code matches VT; confirmed by 2 independent sources,"Janet Zinter, DDS",DDS,,,,,,,,63 Western Ave Suite 1,05301,General Dentistry,Individual dentist,Primary (general),,1,2026,Recent,https://npiregistry.cms.hhs.gov/provider-view/1215971353,,https://www.google.com/maps/place/Terry+Melissa/data=!4m7!3m6!1s0x89e11bb33c82413d:0xbfa441df09874069!8m2!3d42.85258!4d-72.56892!16s%2Fg%2F1tfhhdnc!19sChIJPUGCPLMb4YkRaUCHCd9BpL8,,,1215971353,,,
B,"Mahdi Taebi-Harandy, DDS",,Brattleboro,VT,(802) 230-0194,VALID,area code matches VT,"Mahdi Taebi-Harandy, DDS",DDS,,,,,,,,1046 Western Ave,05301,General Dentistry,Individual dentist,Primary (general),,1,2022,Recent,https://npiregistry.cms.hhs.gov/provider-view/1366925356,,,,,1366925356,,,
B,"Professional Dental Care, PLLC","Dr. Gerald R. Theberge, DDS",Brattleboro,VT,(802) 254-9644,VALID,area code matches VT; confirmed by 2 independent sources,"Leonard Giordano, DMD",Partner,,,,,,,,72 High Street,05301,General Dentistry,Practice (organisation),Primary (general),,1,2022,Recent,https://npiregistry.cms.hhs.gov/provider-view/1801839014,,"https://www.google.com/maps/place/Dr.+Gerald+R.+Theberge,+DDS/data=!4m7!3m6!1s0x89e11a4e6d54c579:0x527d9cc0c69aa2d2!8m2!3d42.8531231!4d-72.5611553!16s%2Fg%2F1td7jrc_!19sChIJecVUbU4a4YkR0qKaxsCcfVI",,,1801839014,,,
B,Puneet Gill,,Brattleboro,VT,(301) 250-5466,CHECK,"area code 301 belongs to MD, practice is in VT",Puneet Gill,Dentist,,,,,,,,927 Putney Rd,05301,General Dentistry,Individual dentist,Primary (general),,1,2026,Recent,https://npiregistry.cms.hhs.gov/provider-view/1225716418,,,,,1225716418,,,
